2017 NAICS Code,2017 NAICS Title,GHG,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Reference USEEIO Code,,,,,
331222,Steel Wire Drawing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.017,0.36,331200,,,"kg CO2e/2022 USD, purchaser price",624410,0.215
331313,Alumina Refining and Primary Aluminum Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.003,0.014,1.018,331313,,,Children's and Infants' Clothing Stores,448130,0.138
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.7,0.021,0.721,33131B,,,"kg CO2e/2022 USD, purchaser price",448130,0.138
331318,"Other Aluminum Rolling, Drawing, and Extruding",All GHGs,"kg CO2e/2022 USD, purchaser price",0.7,0.021,0.721,33131B,,,Chocolate and Confectionery Manufacturing from Cacao Beans,311351,0.442
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.408,0.016,0.423,331410,,,"kg CO2e/2022 USD, purchaser price",311351,0.442
331420,"Copper Rolling, Drawing, Extruding, and Alloying",All GHGs,"kg CO2e/2022 USD, purchaser price",0.316,0.019,0.334,331420,,,Citrus (except Orange) Groves,111320,0.429
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",All GHGs,"kg CO2e/2022 USD, purchaser price",0.414,0.018,0.431,331490,,,"kg CO2e/2022 USD, purchaser price",111320,0.429
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",All GHGs,"kg CO2e/2022 USD, purchaser price",0.414,0.018,0.431,331490,,,Civic and Social Organizations,813410,0.128
331511,Iron Foundries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.349,0.021,0.369,331510,,,"kg CO2e/2022 USD, purchaser price",813410,0.128
331512,Steel Investment Foundries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.349,0.021,0.369,331510,,,Claims Adjusting,524291,0.029
331513,Steel Foundries (except Investment),All GHGs,"kg CO2e/2022 USD, purchaser price",0.349,0.021,0.369,331510,,,"kg CO2e/2022 USD, purchaser price",524291,0.029
331523,Nonferrous Metal Die-Casting Foundries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.025,0.462,331520,,,Clay and Ceramic and Refractory Minerals Mining,212325,0.184
331524,Aluminum Foundries (except Die-Casting),All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.025,0.462,331520,,,"kg CO2e/2022 USD, purchaser price",212325,0.184
331529,Other Nonferrous Metal Foundries (except Die-Casting),All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.025,0.462,331520,,,Clay Building Material and Refractories Manufacturing,327120,0.399
332111,Iron and Steel Forging,All GHGs,"kg CO2e/2022 USD, purchaser price",0.47,0.023,0.493,33211A,,,"kg CO2e/2022 USD, purchaser price",327120,0.399
332112,Nonferrous Forging,All GHGs,"kg CO2e/2022 USD, purchaser price",0.47,0.023,0.493,33211A,,,Clothing Accessories Stores,448150,0.138
332114,Custom Roll Forming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.349,0.013,0.362,332114,,,"kg CO2e/2022 USD, purchaser price",448150,0.138
332117,Powder Metallurgy Part Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.47,0.023,0.493,33211A,,,Coal and Other Mineral and Ore Merchant Wholesalers,423520,0.108
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",All GHGs,"kg CO2e/2022 USD, purchaser price",0.293,0.026,0.319,332119,,,"kg CO2e/2022 USD, purchaser price",423520,0.108
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.174,0.049,0.223,332200,,,Coastal and Great Lakes Freight Transportation,483113,0.816
332216,Saw Blade and Handtool Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.174,0.049,0.223,332200,,,"kg CO2e/2022 USD, purchaser price",483113,0.816
332311,Prefabricated Metal Building and Component Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,332310,,,Coastal and Great Lakes Passenger Transportation,483114,0.816
332312,Fabricated Structural Metal Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,332310,,,"kg CO2e/2022 USD, purchaser price",483114,0.816
332313,Plate Work Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,332310,,,Coffee and Tea Manufacturing,311920,0.313
332321,Metal Window and Door Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,332320,,,"kg CO2e/2022 USD, purchaser price",311920,0.313
332322,Sheet Metal Work Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,332320,,,Coin-Operated Laundries and Drycleaners,812310,0.158
332323,Ornamental and Architectural Metal Work Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,332320,,,"kg CO2e/2022 USD, purchaser price",812310,0.158
332410,Power Boiler and Heat Exchanger Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.182,0.027,0.209,332410,,,Collection Agencies,561440,0.111
332420,Metal Tank (Heavy Gauge) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.267,0.012,0.279,332420,,,"kg CO2e/2022 USD, purchaser price",561440,0.111
332431,Metal Can Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.302,0.016,0.318,332430,,,"Colleges, Universities, and Professional Schools",611310,0.14
332439,Other Metal Container Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.302,0.016,0.318,332430,,,"kg CO2e/2022 USD, purchaser price",611310,0.14
332510,Hardware Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.157,0.034,0.191,332500,,,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",532411,0.106
332613,Spring Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.219,0.014,0.233,332600,,,"kg CO2e/2022 USD, purchaser price",532411,0.106
332618,Other Fabricated Wire Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.219,0.014,0.233,332600,,,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,811310,0.136
332710,Machine Shops,All GHGs,"kg CO2e/2022 USD, purchaser price",0.262,0.016,0.278,332710,,,"kg CO2e/2022 USD, purchaser price",811310,0.136
332721,Precision Turned Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.026,0.248,332720,,,Commercial and Institutional Building Construction,236220,0.224
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.026,0.248,332720,,,"kg CO2e/2022 USD, purchaser price",236220,0.224
332811,Metal Heat Treating,All GHGs,"kg CO2e/2022 USD, purchaser price",0.368,0.015,0.382,332800,,,Commercial Bakeries,311812,0.213
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",All GHGs,"kg CO2e/2022 USD, purchaser price",0.368,0.015,0.382,332800,,,"kg CO2e/2022 USD, purchaser price",311812,0.213
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",All GHGs,"kg CO2e/2022 USD, purchaser price",0.368,0.015,0.382,332800,,,Commercial Banking,522110,0.059
332911,Industrial Valve Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.146,0.027,0.173,33291A,,,"kg CO2e/2022 USD, purchaser price",522110,0.059
332912,Fluid Power Valve and Hose Fitting Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.146,0.027,0.173,33291A,,,Commercial Photography,541922,0.125
332913,Plumbing Fixture Fitting and Trim Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.126,0.045,0.171,332913,,,"kg CO2e/2022 USD, purchaser price",541922,0.125
332919,Other Metal Valve and Pipe Fitting Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.146,0.027,0.173,33291A,,,Commercial Printing (except Screen and Books),323111,0.202
332991,Ball and Roller Bearing Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.179,0.024,0.203,332991,,,"kg CO2e/2022 USD, purchaser price",323111,0.202
332992,Small Arms Ammunition Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.115,0.054,0.168,33299A,,,Commercial Screen Printing,323113,0.202
332993,Ammunition (except Small Arms) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.115,0.054,0.168,33299A,,,"kg CO2e/2022 USD, purchaser price",323113,0.202
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.115,0.054,0.168,33299A,,,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",335122,0.138
332996,Fabricated Pipe and Pipe Fitting Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.212,0.026,0.238,332996,,,"kg CO2e/2022 USD, purchaser price",335122,0.138
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.248,0.024,0.272,332999,,,Commodity Contracts Brokerage,523140,0.043
333111,Farm Machinery and Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.191,0.029,0.22,333111,,,"kg CO2e/2022 USD, purchaser price",523140,0.043
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.052,0.068,0.12,333112,,,Commodity Contracts Dealing,523130,0.043
333120,Construction Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.201,0.027,0.228,333120,,,"kg CO2e/2022 USD, purchaser price",523130,0.043
333131,Mining Machinery and Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.175,0.044,0.219,333130,,,Communication Equipment Repair and Maintenance,811213,0.076
333132,Oil and Gas Field Machinery and Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.175,0.044,0.219,333130,,,"kg CO2e/2022 USD, purchaser price",811213,0.076
333241,Food Product Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,33329A,,,Community Food Services,624210,0.217
333242,Semiconductor Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.13,0.02,0.15,333242,,,"kg CO2e/2022 USD, purchaser price",624210,0.217
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,33329A,,,Commuter Rail Systems,485112,0.566
333244,Printing Machinery and Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,33329A,,,"kg CO2e/2022 USD, purchaser price",485112,0.566
333249,Other Industrial Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,33329A,,,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,0.074
333314,Optical Instrument and Lens Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.152,0.023,0.175,333314,,,"kg CO2e/2022 USD, purchaser price",423430,0.074
333316,Photographic and Photocopying Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.085,0.05,0.135,333316,,,Computer and Office Machine Repair and Maintenance,811212,0.076
333318,Other Commercial and Service Industry Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.171,0.034,0.205,333318,,,"kg CO2e/2022 USD, purchaser price",811212,0.076
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.025,0.21,333413,,,Computer Facilities Management Services,541513,0.08
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.138,0.038,0.176,333414,,,"kg CO2e/2022 USD, purchaser price",541513,0.08
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.156,0.028,0.184,333415,,,Computer Storage Device Manufacturing,334112,0.04
333511,Industrial Mold Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.236,0.025,0.262,333511,,,"kg CO2e/2022 USD, purchaser price",334112,0.04
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.026,0.21,333514,,,Computer Systems Design Services,541512,0.089
333515,Cutting Tool and Machine Tool Accessory Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.023,0.207,33351B,,,"kg CO2e/2022 USD, purchaser price",541512,0.089
333517,Machine Tool Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.176,0.023,0.199,333517,,,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,334118,0.116
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.023,0.207,33351B,,,"kg CO2e/2022 USD, purchaser price",334118,0.116
333611,Turbine and Turbine Generator Set Units Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.178,0.024,0.201,333611,,,Computer Training,611420,0.108
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.163,0.016,0.179,333612,,,"kg CO2e/2022 USD, purchaser price",611420,0.108
333613,Mechanical Power Transmission Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.187,0.022,0.209,333613,,,Concrete Block and Brick Manufacturing,327331,0.264
333618,Other Engine Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.273,0.024,0.297,333618,,,"kg CO2e/2022 USD, purchaser price",327331,0.264
333912,Air and Gas Compressor Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.158,0.02,0.177,333912,,,Concrete Pipe Manufacturing,327332,0.264
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.223,0,0.223,333914,,,"kg CO2e/2022 USD, purchaser price",327332,0.264
333921,Elevator and Moving Stairway Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,333920,,,Confectionery and Nut Stores,445292,0.186
333922,Conveyor and Conveying Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,333920,,,"kg CO2e/2022 USD, purchaser price",445292,0.186
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,333920,,,Confectionery Manufacturing from Purchased Chocolate,311352,0.442
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,333920,,,"kg CO2e/2022 USD, purchaser price",311352,0.442
333991,Power-Driven Handtool Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.083,0.053,0.136,333991,,,Confectionery Merchant Wholesalers,424450,0.159
333992,Welding and Soldering Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.228,0.021,0.249,33399A,,,"kg CO2e/2022 USD, purchaser price",424450,0.159
333993,Packaging Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.113,0.023,0.136,333993,,,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,423810,0.115
333994,Industrial Process Furnace and Oven Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.168,0.022,0.19,333994,,,"kg CO2e/2022 USD, purchaser price",423810,0.115
333995,Fluid Power Cylinder and Actuator Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.182,0.021,0.202,33399B,,,Construction Machinery Manufacturing,333120,0.201
333996,Fluid Power Pump and Motor Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.182,0.021,0.202,33399B,,,"kg CO2e/2022 USD, purchaser price",333120,0.201
333997,Scale and Balance Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.228,0.021,0.249,33399A,,,Construction Sand and Gravel Mining,212321,0.184
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.228,0.021,0.249,33399A,,,"kg CO2e/2022 USD, purchaser price",212321,0.184
334111,Electronic Computer Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.03,0.028,0.058,334111,,,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",532412,0.106
334112,Computer Storage Device Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.04,0.031,0.071,334112,,,"kg CO2e/2022 USD, purchaser price",532412,0.106
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.116,0.027,0.143,334118,,,Consumer Electronics and Appliances Rental,532210,0.102
334210,Telephone Apparatus Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.051,0.045,0.096,334210,,,"kg CO2e/2022 USD, purchaser price",532210,0.102
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.065,0.047,0.111,334220,,,Consumer Electronics Repair and Maintenance,811211,0.076
334290,Other Communications Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.038,0.042,0.08,334290,,,"kg CO2e/2022 USD, purchaser price",811211,0.076
334310,Audio and Video Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.043,0.038,0.081,334300,,,Consumer Lending,522291,0.072
334412,Bare Printed Circuit Board Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,33441A,,,"kg CO2e/2022 USD, purchaser price",522291,0.072
334413,Semiconductor and Related Device Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.188,0.028,0.215,334413,,,Continuing Care Retirement Communities,623311,0.159
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,33441A,,,"kg CO2e/2022 USD, purchaser price",623311,0.159
334417,Electronic Connector Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,33441A,,,Convenience Stores,445120,0.186
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.068,0.033,0.101,334418,,,"kg CO2e/2022 USD, purchaser price",445120,0.186
334419,Other Electronic Component Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,33441A,,,Convention and Trade Show Organizers,561920,0.127
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.087,0.048,0.135,334510,,,"kg CO2e/2022 USD, purchaser price",561920,0.127
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.052,0.019,0.071,334511,,,Convention and Visitors Bureaus,561591,0.088
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",All GHGs,"kg CO2e/2022 USD, purchaser price",0.047,0.023,0.07,334512,,,"kg CO2e/2022 USD, purchaser price",561591,0.088
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",All GHGs,"kg CO2e/2022 USD, purchaser price",0.048,0.015,0.063,334513,,,Conveyor and Conveying Equipment Manufacturing,333922,0.234
334514,Totalizing Fluid Meter and Counting Device Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.063,0.021,0.084,334514,,,"kg CO2e/2022 USD, purchaser price",333922,0.234
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,All GHGs,"kg CO2e/2022 USD, purchaser price",0.055,0.024,0.079,334515,,,Cookie and Cracker Manufacturing,311821,0.31
334516,Analytical Laboratory Instrument Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.078,0.024,0.102,334516,,,"kg CO2e/2022 USD, purchaser price",311821,0.31
334517,Irradiation Apparatus Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.097,0.038,0.135,334517,,,"Copper Rolling, Drawing, Extruding, and Alloying",331420,0.316
334519,Other Measuring and Controlling Device Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.044,0.042,0.087,33451A,,,"kg CO2e/2022 USD, purchaser price",331420,0.316
334613,Blank Magnetic and Optical Recording Media Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.043,0.021,0.063,334610,,,"Copper, Nickel, Lead, and Zinc Mining",212230,0.27
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.043,0.021,0.063,334610,,,"kg CO2e/2022 USD, purchaser price",212230,0.27
335110,Electric Lamp Bulb and Part Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.099,0.074,0.173,335110,,,Corn Farming,111150,0.809
335121,Residential Electric Lighting Fixture Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.138,0.047,0.185,335120,,,"kg CO2e/2022 USD, purchaser price",111150,0.809
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.138,0.047,0.185,335120,,,"Corporate, Subsidiary, and Regional Managing Offices",551114,0.084
335129,Other Lighting Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.138,0.047,0.185,335120,,,"kg CO2e/2022 USD, purchaser price",551114,0.084
335210,Small Electrical Appliance Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.106,0.051,0.157,335210,,,Corrugated and Solid Fiber Box Manufacturing,322211,0.449
335220,Major Household Appliance Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.137,0.034,0.172,335220,,,"kg CO2e/2022 USD, purchaser price",322211,0.449
335311,"Power, Distribution, and Specialty Transformer Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.118,0.015,0.133,335311,,,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,0.13
335312,Motor and Generator Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.133,0.019,0.152,335312,,,"kg CO2e/2022 USD, purchaser price",446120,0.13
335313,Switchgear and Switchboard Apparatus Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.153,0.021,0.174,335313,,,Cosmetology and Barber Schools,611511,0.108
335314,Relay and Industrial Control Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.12,0.018,0.138,335314,,,"kg CO2e/2022 USD, purchaser price",611511,0.108
335911,Storage Battery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.311,0.026,0.337,335911,,,Cotton Farming,111920,0.703
335912,Primary Battery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.046,0.057,0.103,335912,,,"kg CO2e/2022 USD, purchaser price",111920,0.703
335921,Fiber Optic Cable Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.219,0.016,0.235,335920,,,Cotton Ginning,115111,0.384
335929,Other Communication and Energy Wire Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.219,0.016,0.235,335920,,,"kg CO2e/2022 USD, purchaser price",115111,0.384
335931,Current-Carrying Wiring Device Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.102,0.026,0.127,335930,,,Couriers and Express Delivery Services,492110,0.303
335932,Noncurrent-Carrying Wiring Device Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.102,0.026,0.127,335930,,,"kg CO2e/2022 USD, purchaser price",492110,0.303
335991,Carbon and Graphite Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.347,0.016,0.363,335991,,,Court Reporting and Stenotype Services,561492,0.111
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.112,0.016,0.128,335999,,,"kg CO2e/2022 USD, purchaser price",561492,0.111
336111,Automobile Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.19,0.05,0.24,336111,,,Creamery Butter Manufacturing,311512,0.766
336112,Light Truck and Utility Vehicle Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.241,0.027,0.268,336112,,,"kg CO2e/2022 USD, purchaser price",311512,0.766
336120,Heavy Duty Truck Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.262,0.011,0.272,336120,,,Credit Bureaus,561450,0.111
336211,Motor Vehicle Body Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.225,0.028,0.253,336211,,,"kg CO2e/2022 USD, purchaser price",561450,0.111
336212,Truck Trailer Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.185,0.015,0.2,336212,,,Credit Card Issuing,522210,0.072
336213,Motor Home Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.055,0.052,0.107,336213,,,"kg CO2e/2022 USD, purchaser price",522210,0.072
336214,Travel Trailer and Camper Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.128,0.033,0.16,336214,,,Credit Unions,522130,0.059
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.23,0.029,0.259,336310,,,"kg CO2e/2022 USD, purchaser price",522130,0.059
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.191,0.027,0.218,336320,,,"Crop Harvesting, Primarily by Machine",115113,0.384
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.25,0.028,0.278,3363A0,,,"kg CO2e/2022 USD, purchaser price",115113,0.384
336340,Motor Vehicle Brake System Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.25,0.028,0.278,3363A0,,,Crude Petroleum Extraction,211120,0.377
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.226,0.027,0.252,336350,,,"kg CO2e/2022 USD, purchaser price",211120,0.377
336360,Motor Vehicle Seating and Interior Trim Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.315,0.018,0.333,336360,,,Crushed and Broken Granite Mining and Quarrying,212313,0.193
336370,Motor Vehicle Metal Stamping,All GHGs,"kg CO2e/2022 USD, purchaser price",0.482,0.02,0.503,336370,,,"kg CO2e/2022 USD, purchaser price",212313,0.193
336390,Other Motor Vehicle Parts Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.242,0.024,0.265,336390,,,Crushed and Broken Limestone Mining and Quarrying,212312,0.193
336411,Aircraft Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.131,0.009,0.139,336411,,,"kg CO2e/2022 USD, purchaser price",212312,0.193
336412,Aircraft Engine and Engine Parts Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.151,0.005,0.156,336412,,,Current-Carrying Wiring Device Manufacturing,335931,0.102
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.163,0.007,0.17,336413,,,"kg CO2e/2022 USD, purchaser price",335931,0.102
